route_id,stop_name,stop_id,direction_id,stop_lat,stop_long,stop_sequence
Green-C,Hawes Street,70213,0,42.344758,-71.111761,12
Green-C,Kent Street,70216,1,42.343927,-71.114569,11
Green-C,Hawes Street,70214,1,42.344867,-71.111157,12
Green-C,Kent Street,70215,0,42.344117,-71.114097,13
Green-C,Saint Marys Street,70212,1,42.346007,-71.107166,13
Green-C,Saint Paul Street,70217,0,42.34334,-71.116927,14
Green-C,Kenmore,70150,1,42.348949,-71.095169,14
Green-C,Coolidge Corner,70219,0,42.342274,-71.120915,15
Green-C,Hynes Convention Center,70152,1,42.347888,-71.087903,15
Green-C,Summit Avenue,70223,0,42.34112,-71.125652,16
Green-C,Copley,70154,1,42.349871,-71.078049,16
Green-C,Brandon Hall,70225,0,42.340053,-71.128869,17
Green-C,Arlington,70156,1,42.351902,-71.070893,17
Green-C,Fairbanks Street,70227,0,42.33969,-71.131228,18
Green-C,Boylston,70158,1,42.352531,-71.064682,18
Green-C,Washington Square,70229,0,42.339471,-71.135139,19
Green-C,Park Street,70200,1,42.356395,-71.062424,19
Green-C,Tappan Street,70231,0,42.338498,-71.138731,20
Green-C,Government Center,70201,1,42.359705,-71.059215,20
Green-C,Dean Road,70233,0,42.337807,-71.141753,21
Green-C,Haymarket,70203,1,42.363021,-71.05829,21
Green-C,Englewood Avenue,70235,0,42.336964,-71.145867,22
Green-C,North Station,70205,1,42.365577,-71.06129,22
Green-C,Cleveland Circle,70237,0,42.336216,-71.149201,23
Green-D,Riverside,70160,1,42.337283,-71.252385,1
Green-D,Government Center,70202,0,42.359705,-71.059215,1
Green-D,Woodland,70162,1,42.333339,-71.244333,2
Green-D,Park Street,70198,0,42.356395,-71.062424,2
Green-D,Boylston,70159,0,42.353214,-71.064545,3
Green-D,Waban,70164,1,42.325899,-71.230805,3
Green-D,Arlington,70157,0,42.351902,-71.070893,4
Green-D,Eliot,70166,1,42.318957,-71.216776,4
Green-D,Copley,70155,0,42.350126,-71.077376,5
Green-D,Newton Highlands,70168,1,42.321687,-71.206063,5
Green-D,Hynes Convention Center,70153,0,42.347888,-71.087903,6
Green-D,Newton Centre,70170,1,42.329338,-71.192388,6
Green-D,Kenmore,70151,0,42.348949,-71.095169,7
Green-D,Chestnut Hill,70172,1,42.326633,-71.165299,7
Green-D,Reservoir,70174,1,42.334916,-71.149064,8
Green-D,Fenway,70187,0,42.345395,-71.10419,8
Green-D,Beaconsfield,70176,1,42.335809,-71.140841,9
Green-D,Longwood,70183,0,42.341143,-71.110447,9
Green-D,Brookline Hills,70178,1,42.331238,-71.127012,10
Green-D,Brookline Village,70181,0,42.332871,-71.116263,10
Green-D,Brookline Hills,70179,0,42.331333,-71.126998,11
Green-D,Brookline Village,70180,1,42.332838,-71.116234,11
Green-D,Beaconsfield,70177,0,42.335848,-71.140826,12
Green-D,Longwood,70182,1,42.341123,-71.110393,12
Green-D,Reservoir,70175,0,42.334954,-71.149079,13
Green-D,Fenway,70186,1,42.345362,-71.104162,13
Green-D,Kenmore,70150,1,42.348949,-71.095169,14
Green-D,Chestnut Hill,70173,0,42.326654,-71.165316,14
Green-D,Hynes Convention Center,70152,1,42.347888,-71.087903,15
Green-D,Newton Centre,70171,0,42.329393,-71.19243,15
Green-D,Copley,70154,1,42.349871,-71.078049,16
Green-D,Newton Highlands,70169,0,42.321734,-71.206118,16
Green-D,Arlington,70156,1,42.351902,-71.070893,17
Green-D,Eliot,70167,0,42.319024,-71.216711,17
Green-D,Boylston,70158,1,42.352531,-71.064682,18
Green-D,Waban,70165,0,42.325943,-71.23073,18
Green-D,Woodland,70163,0,42.333372,-71.244303,19
Green-D,Park Street,70200,1,42.356395,-71.062424,19
Green-D,Riverside,70161,0,42.337321,-71.252357,20
Green-D,Government Center,70201,1,42.359705,-71.059215,20
Green-E,Lechmere,70210,0,42.370911,-71.077095,1
Green-E,Heath Street,70260,1,42.328316,-71.110252,1
Green-E,Science Park,70208,0,42.366664,-71.067666,2
Green-E,Back of the Hill,70258,1,42.329399,-71.110931,2
Green-E,North Station,70206,0,42.365577,-71.06129,3
Green-E,Riverway,70256,1,42.331871,-71.111961,3
Green-E,Haymarket,70204,0,42.363021,-71.05829,4
Green-E,Mission Park,70254,1,42.333092,-71.10968,4
Green-E,Government Center,70202,0,42.359705,-71.059215,5
Green-E,Fenwood Road,70252,1,42.333706,-71.105583,5
Green-E,Park Street,70199,0,42.356395,-71.062424,6
Green-E,Brigham Circle,70250,1,42.334846,-71.103017,6
Green-E,Boylston,70159,0,42.353214,-71.064545,7
Green-E,Longwood Medical Area,70248,1,42.336217,-71.099328,7
Green-E,Arlington,70157,0,42.351902,-71.070893,8
Green-E,Museum of Fine Arts,70246,1,42.338017,-71.094682,8
Green-E,Copley,70155,0,42.350126,-71.077376,9
Green-E,Northeastern University,70244,1,42.340222,-71.0892,9
Green-E,Prudential,70239,0,42.34557,-71.081696,10
Green-E,Symphony,70242,1,42.342687,-71.085056,10
Green-E,Prudential,70240,1,42.34557,-71.081696,11
Green-E,Symphony,70241,0,42.342687,-71.085056,11
Green-E,Copley,70154,1,42.349871,-71.078049,12
Green-E,Northeastern University,70243,0,42.339897,-71.09021,12
Green-E,Arlington,70156,1,42.351902,-71.070893,13
Green-E,Museum of Fine Arts,70245,0,42.337875,-71.09524,13
Green-E,Boylston,70158,1,42.352531,-71.064682,14
Green-E,Longwood Medical Area,70247,0,42.33608,-71.099883,14
Green-E,Park Street,70200,1,42.356395,-71.062424,15
Green-E,Brigham Circle,70249,0,42.334331,-71.104487,15
Green-E,Government Center,70201,1,42.359705,-71.059215,16
Green-E,Fenwood Road,70251,0,42.33374,-71.105721,16
Green-E,Haymarket,70203,1,42.363021,-71.05829,17
Green-E,Mission Park,70253,0,42.333279,-71.109276,17
Green-E,North Station,70205,1,42.365577,-71.06129,18
Green-E,Riverway,70255,0,42.331391,-71.111925,18
Green-E,Science Park,70207,1,42.366664,-71.067666,19
Green-E,Back of the Hill,70257,0,42.329369,-71.111046,19
Green-E,Lechmere,70209,1,42.370952,-71.077007,20
Green-E,Heath Street,70260,0,42.328316,-71.110252,20
Orange,Forest Hills,70001,1,42.300523,-71.113686,1
Orange,Oak Grove,70036,0,42.43668,-71.071097,1
Orange,Green Street,70003,1,42.310525,-71.107414,2
